,,,,,,,,,,,
"(",8,"/",4,")","+",2,"=",4,,,
"(",4,"/",2,")","+",1,"=",3,"y","SUGAR","(4/2)+1=3"
"(",4,"/",2,")","+",1,"=",4,"n","BEACH","(4/2)+1=4"
"(",4,"/",2,")","+",2,"=",4,"y","MILK","(4/2)+2=4"
"(",4,"/",2,")","+",2,"=",6,"n","SKIN","(4/2)+2=6"
"(",4,"/",2,")","+",3,"=",5,"y","KNIFE","(4/2)+3=5"
"(",4,"/",2,")","+",3,"=",7,"n","FOREST","(4/2)+3=7"
"(",4,"/",2,")","+",4,"=",6,"y","BOAT","(4/2)+4=6"
"(",4,"/",2,")","+",4,"=",8,"n","PIANO","(4/2)+4=8"
"(",4,"/",2,")","+",5,"=",7,"y","BEDROOM","(4/2)+5=7"
"(",4,"/",2,")","+",6,"=",8,"y","SNAKE","(4/2)+6=8"
"(",4,"/",2,")","+",6,"=",9,"n","BEEF","(4/2)+6=9"
"(",4,"/",2,")","+",7,"=",7,"n","WINE","(4/2)+7=7"
"(",6,"/",2,")","+",1,"=",5,"n","SHORE","(6/2)+1=5"
"(",6,"/",2,")","+",2,"=",5,"y","ROSE","(6/2)+2=5"
"(",6,"/",2,")","+",2,"=",6,"n","OCEAN","(6/2)+2=6"
"(",6,"/",2,")","+",3,"=",6,"y","TREE","(6/2)+3=6"
"(",6,"/",2,")","+",3,"=",7,"n","NECK","(6/2)+3=7"
"(",6,"/",2,")","+",4,"=",7,"y","TONGUE","(6/2)+4=7"
"(",6,"/",2,")","+",4,"=",8,"n","TRUCK","(6/2)+4=8"
"(",6,"/",2,")","+",5,"=",9,"n","WINTER","(6/2)+5=9"
"(",6,"/",2,")","+",6,"=",9,"y","BREAD","(6/2)+6=9"
"(",6,"/",2,")","+",6,"=",8,"n","CHICKEN","(6/2)+6=8"
"(",6,"/",3,")","+",1,"=",3,"y","CATTLE","(6/3)+1=3"
"(",6,"/",3,")","+",2,"=",4,"y","BOTTLE","(6/3)+2=4"
"(",6,"/",3,")","+",2,"=",6,"n","GRAVE","(6/3)+2=6"
"(",6,"/",3,")","+",3,"=",5,"y","COFFEE","(6/3)+3=5"
"(",6,"/",3,")","+",3,"=",7,"n","RAIN","(6/3)+3=7"
"(",6,"/",3,")","+",4,"=",6,"y","MEAT","(6/3)+4=6"
"(",6,"/",3,")","+",4,"=",8,"n","LAKE","(6/3)+4=8"
"(",6,"/",3,")","+",5,"=",7,"y","GOLF","(6/3)+5=7"
"(",6,"/",3,")","+",5,"=",9,"n","FISH","(6/3)+5=9"
"(",6,"/",3,")","+",6,"=",8,"y","SMOKE","(6/3)+6=8"
"(",6,"/",3,")","+",6,"=",9,"n","SMILE","(6/3)+6=9"
"(",6,"/",3,")","+",7,"=",9,"y","SISTER","(6/3)+7=9"
"(",6,"/",3,")","+",7,"=",8,"n","SHIP","(6/3)+7=8"
"(",8,"/",2,")","+",1,"=",6,"n","ROCK","(8/2)+1=6"
"(",8,"/",2,")","+",2,"=",6,"y","PALACE","(8/2)+2=6"
"(",8,"/",2,")","+",2,"=",8,"n","QUEEN","(8/2)+2=8"
"(",8,"/",2,")","+",3,"=",7,"y","JACKET","(8/2)+3=7"
"(",8,"/",2,")","+",3,"=",9,"n","DOLLAR","(8/2)+3=9"
"(",8,"/",2,")","+",4,"=",8,"y","CHAIR","(8/2)+4=8"
"(",8,"/",2,")","+",4,"=",6,"n","BRIDGE","(8/2)+4=6"
"(",8,"/",2,")","+",5,"=",9,"y","BABY","(8/2)+5=9"
"(",8,"/",4,")","+",1,"=",3,"y","FACTORY","(8/4)+1=3"
"(",8,"/",4,")","+",2,"=",4,"y","PENCIL","(8/4)+2=4"
"(",8,"/",4,")","+",2,"=",6,"n","HILL","(8/4)+2=6"
"(",8,"/",4,")","+",3,"=",5,"y","BOMB","(8/4)+3=5"
"(",8,"/",4,")","+",3,"=",7,"n","PRINCE","(8/4)+3=7"
"(",8,"/",4,")","+",4,"=",8,"n","NOSE","(8/4)+4=8"
"(",8,"/",4,")","+",5,"=",7,"y","ROOF","(8/4)+5=7"
"(",8,"/",4,")","+",5,"=",9,"n","GRASS","(8/4)+5=9"
"(",8,"/",4,")","+",6,"=",8,"y","MISSILE","(8/4)+6=8"
"(",8,"/",4,")","+",6,"=",6,"n","LUNCH","(8/4)+6=6"
"(",8,"/",4,")","+",7,"=",9,"y","RING","(8/4)+7=9"
"(",9,"/",3,")","+",1,"=",4,"y","CORN","(9/3)+1=4"
"(",9,"/",3,")","+",1,"=",6,"n","FOAM","(9/3)+1=6"
"(",9,"/",3,")","+",2,"=",5,"y","DOCTOR","(9/3)+2=5"
"(",9,"/",3,")","+",2,"=",7,"n","VALLEY","(9/3)+2=7"
"(",9,"/",3,")","+",3,"=",6,"y","ARTIST","(9/3)+3=6"
"(",9,"/",3,")","+",3,"=",8,"n","BEER","(9/3)+3=8"
"(",9,"/",3,")","+",4,"=",7,"y","SNOW","(9/3)+4=7"
"(",9,"/",3,")","+",4,"=",9,"n","KNEE","(9/3)+4=9"
"(",9,"/",3,")","+",5,"=",8,"y","CHINA","(9/3)+5=8"
"(",9,"/",3,")","+",5,"=",6,"n","BATTLE","(9/3)+5=6"
"(",9,"/",3,")","+",6,"=",9,"y","FOOT","(9/3)+6=9"
"(",9,"/",3,")","+",6,"=",7,"n","MANTLE","(9/3)+6=7"
